Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1557796115789, 105606, 511, 500, 611
1557796115801, 105619, 511, 500, 607
1557796115814, 105632, 518, 497, 602
1557796115826, 105646, 508, 526, 553
1557796115841, 105658, 513, 553, 513
1557796115853, 105671, 506, 520, 520
1557796115866, 105684, 509, 515, 528
1557796115879, 105698, 510, 511, 530
1557796115893, 105710, 508, 509, 532
1557796115906, 105723, 510, 507, 531
1557796115919, 105737, 508, 508, 531
1557796115932, 105750, 501, 517, 541
1557796115946, 105762, 518, 582, 731
1557796115959, 105776, 286, 802, 606
1557796115971, 105789, 615, 779, 780
1557796115984, 105802, 736, 509, 906
1557796115998, 105815, 549, 399, 711
1557796116010, 105828, 490, 551, 591
1557796116022, 105841, 508, 627, 596
1557796116036, 105854, 526, 577, 574
1557796116049, 105867, 534, 574, 600
1557796116063, 105880, 529, 569, 651
1557796116075, 105893, 528, 545, 646
1557796116089, 105907, 524, 550, 626
1557796116102, 105919, 520, 556, 614
1557796116115, 105932, 518, 552, 617
1557796116128, 105946, 517, 547, 618
1557796116141, 105959, 520, 545, 615
1557796116154, 105972, 519, 545, 611
1557796116167, 105985, 518, 544, 609
1557796116180, 105998, 520, 544, 610
1557796116193, 106011, 521, 544, 611
1557796116206, 106024, 522, 545, 611
1557796116219, 106037, 520, 546, 609
1557796116233, 106050, 520, 547, 610
1557796116245, 106063, 519, 547, 611
1557796116259, 106077, 518, 546, 612
1557796116272, 106089, 517, 546, 613
1557796116286, 106102, 517, 545, 613
1557796116298, 106116, 517, 546, 615
1557796116311, 106129, 517, 546, 616
1557796116323, 106141, 517, 547, 616
1557796116337, 106155, 516, 547, 615
1557796116350, 106168, 516, 548, 615
1557796116363, 106181, 515, 547, 616
1557796116376, 106193, 515, 547, 616
1557796116390, 106207, 515, 547, 616
1557796116402, 106220, 515, 547, 616
1557796116415, 106233, 515, 547, 616
1557796116428, 106246, 516, 547, 616
1557796116443, 106259, 516, 546, 616
1557796116454, 106272, 517, 545, 615
1557796116469, 106286, 517, 546, 615
1557796116481, 106298, 517, 545, 615
1557796116494, 106311, 517, 545, 615
1557796116507, 106324, 517, 543, 616
1557796116520, 106338, 517, 544, 615
1557796116533, 106351, 517, 543, 613
1557796116547, 106363, 515, 543, 613
1557796116559, 106377, 515, 543, 613
1557796116572, 106390, 514, 543, 614
1557796116586, 106403, 514, 543, 614
1557796116600, 106416, 514, 544, 615
1557796116611, 106429, 514, 545, 615
1557796116623, 106442, 514, 545, 615
1557796116638, 106456, 513, 545, 615
1557796116651, 106468, 513, 546, 614
1557796116664, 106481, 513, 545, 615
1557796116676, 106494, 514, 546, 615
1557796116690, 106508, 515, 546, 614
1557796116704, 106520, 515, 544, 615
1557796116716, 106533, 515, 542, 615
1557796116729, 106547, 515, 542, 614
1557796116742, 106560, 515, 542, 614
1557796116756, 106572, 515, 543, 616
1557796116768, 106586, 516, 544, 617
1557796116781, 106599, 517, 544, 617
1557796116794, 106612, 516, 545, 617
1557796116807, 106625, 517, 545, 617
1557796116820, 106638, 518, 544, 616
1557796116833, 106651, 517, 543, 616
1557796116846, 106664, 516, 544, 614
1557796116860, 106677, 514, 544, 613
1557796116872, 106690, 513, 544, 613
1557796116885, 106703, 512, 543, 613
1557796116898, 106717, 511, 543, 613
1557796116912, 106730, 511, 542, 613
1557796116924, 106742, 511, 541, 613
1557796116938, 106756, 512, 540, 613
1557796116951, 106769, 513, 540, 613
1557796116965, 106782, 513, 541, 612
1557796116977, 106795, 514, 542, 614
1557796116989, 106808, 516, 542, 616
1557796117003, 106821, 519, 543, 618
1557796117016, 106834, 520, 544, 619
1557796117029, 106847, 520, 543, 620
1557796117042, 106860, 521, 543, 620
1557796117056, 106873, 521, 543, 619
1557796117069, 106887, 521, 544, 619
1557796117082, 106899, 521, 543, 618
1557796117096, 106912, 521, 544, 617
1557796117108, 106926, 521, 545, 616
1557796117120, 106939, 521, 545, 616
1557796117134, 106951, 521, 546, 617
1557796117147, 106964, 521, 545, 618
1557796117161, 106978, 521, 544, 617
1557796117173, 106991, 520, 544, 617
1557796117186, 107003, 519, 543, 615
1557796117200, 107017, 519, 544, 615
1557796117212, 107030, 518, 543, 616
1557796117224, 107043, 517, 542, 616
1557796117239, 107057, 515, 543, 615
1557796117252, 107069, 515, 543, 615
1557796117264, 107082, 516, 543, 615
1557796117278, 107096, 516, 544, 615
1557796117290, 107109, 517, 544, 615
