Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1557796108737, 98554, 509, 489, 622
1557796108750, 98568, 507, 488, 622
1557796108763, 98581, 507, 487, 622
1557796108776, 98593, 508, 489, 621
1557796108789, 98607, 510, 489, 620
1557796108802, 98620, 509, 490, 621
1557796108815, 98633, 509, 489, 622
1557796108828, 98646, 508, 490, 622
1557796108841, 98659, 509, 489, 622
1557796108855, 98672, 510, 488, 620
1557796108868, 98684, 509, 489, 620
1557796108881, 98698, 509, 489, 620
1557796108893, 98711, 509, 489, 619
1557796108906, 98724, 508, 489, 618
1557796108919, 98737, 506, 489, 617
1557796108933, 98750, 509, 488, 615
1557796108945, 98763, 511, 491, 613
1557796108958, 98776, 516, 496, 607
1557796108971, 98789, 524, 493, 601
1557796108985, 98802, 519, 491, 599
1557796108997, 98816, 519, 497, 599
1557796109009, 98828, 503, 547, 534
1557796109023, 98841, 505, 553, 518
1557796109037, 98854, 504, 518, 523
1557796109049, 98867, 508, 513, 529
1557796109062, 98880, 509, 506, 530
1557796109076, 98893, 510, 508, 532
1557796109088, 98907, 507, 505, 533
1557796109102, 98919, 504, 508, 533
1557796109115, 98932, 500, 515, 539
1557796109128, 98946, 481, 512, 533
1557796109141, 98959, 126, 814, 862
1557796109154, 98971, 480, 593, 691
1557796109167, 98984, 743, 664, 971
1557796109180, 98998, 624, 433, 713
1557796109193, 99010, 511, 506, 579
1557796109205, 99023, 495, 642, 599
1557796109219, 99037, 517, 611, 594
1557796109231, 99050, 526, 560, 620
1557796109244, 99062, 528, 562, 630
1557796109259, 99076, 531, 549, 637
1557796109271, 99089, 528, 548, 623
1557796109283, 99102, 525, 550, 620
1557796109297, 99115, 524, 548, 620
1557796109310, 99128, 525, 547, 620
1557796109323, 99141, 526, 547, 619
1557796109336, 99153, 525, 548, 617
1557796109350, 99167, 523, 548, 615
1557796109362, 99180, 522, 549, 613
1557796109375, 99193, 521, 550, 612
1557796109388, 99206, 522, 549, 613
1557796109402, 99219, 522, 547, 611
1557796109414, 99232, 520, 547, 610
1557796109427, 99245, 520, 547, 608
1557796109440, 99258, 521, 546, 608
1557796109453, 99271, 521, 546, 609
1557796109466, 99284, 521, 545, 610
1557796109480, 99297, 521, 545, 611
1557796109492, 99310, 521, 545, 611
1557796109505, 99323, 519, 546, 612
1557796109518, 99336, 519, 546, 611
1557796109530, 99349, 518, 546, 610
1557796109545, 99362, 517, 547, 612
1557796109558, 99376, 518, 548, 614
1557796109571, 99388, 517, 547, 615
1557796109584, 99401, 518, 547, 616
1557796109597, 99415, 519, 547, 616
1557796109609, 99428, 519, 548, 615
1557796109623, 99440, 519, 549, 615
1557796109636, 99453, 519, 550, 616
1557796109649, 99467, 519, 549, 617
1557796109662, 99479, 519, 549, 618
1557796109675, 99492, 519, 550, 617
1557796109687, 99506, 519, 549, 615
1557796109701, 99519, 518, 548, 615
1557796109713, 99531, 519, 548, 614
1557796109727, 99545, 519, 547, 614
1557796109740, 99558, 518, 548, 613
1557796109753, 99570, 518, 548, 613
1557796109766, 99584, 517, 548, 613
1557796109780, 99597, 518, 549, 614
1557796109793, 99610, 518, 549, 614
1557796109806, 99622, 518, 548, 613
1557796109818, 99636, 518, 547, 612
1557796109832, 99649, 518, 546, 612
1557796109844, 99662, 518, 546, 612
1557796109858, 99675, 519, 545, 614
1557796109869, 99688, 520, 546, 613
1557796109883, 99701, 519, 545, 614
1557796109896, 99714, 520, 546, 614
1557796109909, 99727, 519, 547, 614
1557796109922, 99740, 518, 546, 614
1557796109936, 99753, 517, 546, 614
1557796109948, 99766, 515, 547, 614
1557796109961, 99779, 514, 547, 615
1557796109974, 99792, 514, 547, 614
1557796109986, 99805, 514, 547, 613
1557796110001, 99818, 514, 548, 614
1557796110013, 99831, 514, 549, 614
1557796110027, 99845, 513, 550, 614
1557796110040, 99857, 514, 550, 616
1557796110053, 99870, 515, 551, 617
1557796110065, 99884, 516, 551, 617
1557796110079, 99897, 516, 550, 616
1557796110092, 99909, 515, 549, 615
1557796110105, 99922, 514, 547, 615
1557796110118, 99936, 514, 546, 614
1557796110130, 99948, 514, 546, 614
1557796110143, 99961, 514, 545, 614
1557796110157, 99975, 515, 545, 613
1557796110170, 99988, 515, 545, 613
1557796110183, 100000, 516, 546, 612
1557796110197, 100014, 516, 546, 614
1557796110209, 100027, 517, 546, 615
1557796110223, 100040, 519, 546, 615
1557796110235, 100052, 520, 546, 615
1557796110248, 100066, 521, 547, 616
1557796110261, 100079, 522, 547, 617
1557796110273, 100092, 524, 548, 618
