Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1557796099254, 89071, 519, 485, 621
1557796099268, 89084, 518, 484, 622
1557796099280, 89098, 517, 484, 623
1557796099293, 89110, 517, 484, 623
1557796099305, 89123, 517, 485, 621
1557796099318, 89137, 517, 485, 620
1557796099331, 89150, 518, 486, 619
1557796099345, 89162, 518, 486, 619
1557796099358, 89176, 517, 486, 621
1557796099371, 89189, 516, 485, 622
1557796099383, 89201, 516, 484, 622
1557796099397, 89214, 517, 485, 621
1557796099410, 89228, 517, 486, 620
1557796099423, 89241, 518, 486, 619
1557796099437, 89253, 518, 486, 619
1557796099450, 89267, 518, 486, 620
1557796099462, 89280, 518, 484, 620
1557796099476, 89293, 517, 483, 620
1557796099489, 89306, 518, 483, 619
1557796099501, 89319, 518, 484, 619
1557796099514, 89332, 518, 485, 619
1557796099526, 89345, 518, 485, 621
1557796099540, 89358, 517, 485, 621
1557796099554, 89371, 518, 485, 622
1557796099567, 89384, 517, 486, 621
1557796099579, 89397, 517, 485, 621
1557796099593, 89410, 517, 485, 621
1557796099605, 89423, 517, 484, 621
1557796099617, 89436, 517, 484, 622
1557796099631, 89449, 518, 486, 622
1557796099644, 89462, 518, 487, 621
1557796099657, 89476, 518, 487, 621
1557796099671, 89488, 517, 486, 622
1557796099683, 89501, 518, 485, 622
1557796099696, 89515, 518, 484, 622
1557796099709, 89527, 518, 485, 621
1557796099722, 89540, 518, 485, 621
1557796099735, 89553, 518, 483, 621
1557796099749, 89567, 517, 483, 620
1557796099762, 89579, 518, 483, 620
1557796099775, 89592, 518, 483, 620
1557796099788, 89606, 518, 484, 620
1557796099801, 89619, 518, 485, 621
1557796099814, 89631, 517, 485, 621
1557796099826, 89645, 518, 485, 620
1557796099840, 89658, 517, 485, 620
1557796099853, 89670, 517, 486, 621
1557796099866, 89683, 518, 484, 620
1557796099879, 89697, 518, 486, 620
1557796099893, 89710, 518, 486, 620
1557796099905, 89722, 517, 486, 621
1557796099917, 89736, 517, 484, 622
1557796099931, 89749, 517, 484, 622
1557796099944, 89761, 517, 484, 621
1557796099956, 89775, 518, 485, 620
1557796099970, 89788, 518, 484, 619
1557796099983, 89801, 518, 485, 618
1557796099996, 89814, 518, 484, 620
1557796100009, 89827, 517, 484, 621
1557796100022, 89840, 517, 485, 622
1557796100035, 89852, 517, 485, 622
1557796100049, 89866, 517, 484, 622
1557796100061, 89879, 517, 484, 622
1557796100074, 89892, 517, 485, 621
1557796100086, 89905, 518, 487, 619
1557796100101, 89918, 517, 487, 618
1557796100114, 89931, 517, 487, 618
1557796100126, 89945, 516, 487, 619
1557796100139, 89957, 515, 487, 618
1557796100153, 89970, 515, 485, 617
1557796100165, 89984, 514, 486, 616
1557796100178, 89996, 514, 491, 613
1557796100191, 90009, 517, 491, 607
1557796100204, 90022, 517, 492, 605
1557796100218, 90036, 516, 488, 604
1557796100231, 90048, 515, 484, 604
1557796100244, 90061, 519, 486, 602
1557796100257, 90075, 517, 499, 597
1557796100270, 90087, 501, 558, 522
1557796100283, 90100, 536, 569, 529
1557796100295, 90114, 531, 554, 537
1557796100308, 90127, 509, 515, 533
1557796100322, 90139, 506, 517, 536
1557796100335, 90152, 505, 515, 538
1557796100348, 90166, 504, 515, 540
1557796100361, 90178, 506, 513, 568
1557796100375, 90191, 397, 890, 890
1557796100387, 90205, 354, 571, 482
1557796100400, 90218, 654, 447, 952
1557796100413, 90230, 554, 396, 701
1557796100427, 90244, 522, 612, 581
1557796100439, 90257, 516, 567, 556
1557796100452, 90270, 511, 536, 586
1557796100466, 90283, 539, 560, 605
1557796100478, 90296, 549, 571, 638
1557796100491, 90309, 521, 527, 638
1557796100504, 90321, 530, 541, 617
1557796100518, 90335, 530, 555, 611
1557796100530, 90348, 529, 552, 615
1557796100543, 90361, 531, 546, 620
1557796100556, 90374, 530, 546, 616
1557796100569, 90387, 528, 548, 613
1557796100582, 90400, 529, 550, 615
1557796100596, 90413, 530, 546, 616
1557796100609, 90426, 529, 545, 613
1557796100620, 90439, 527, 545, 612
1557796100634, 90452, 526, 545, 612
1557796100648, 90465, 525, 544, 614
1557796100660, 90478, 525, 547, 614
1557796100672, 90491, 524, 545, 612
1557796100686, 90505, 524, 547, 612
1557796100700, 90517, 525, 547, 611
1557796100712, 90530, 525, 545, 612
1557796100726, 90544, 525, 545, 614
1557796100739, 90556, 526, 544, 614
1557796100751, 90569, 527, 544, 613
1557796100766, 90583, 527, 544, 612
1557796100778, 90596, 527, 545, 613
1557796100790, 90608, 526, 545, 613
1557796100804, 90621, 525, 543, 612
1557796100817, 90635, 524, 543, 612
1557796100830, 90647, 524, 544, 612
1557796100843, 90660, 523, 547, 613
1557796100855, 90674, 522, 548, 616
1557796100869, 90687, 523, 548, 615
1557796100881, 90699, 522, 547, 615
1557796100894, 90713, 522, 546, 614
1557796100908, 90726, 521, 546, 615
1557796100921, 90739, 521, 547, 616
1557796100935, 90752, 522, 546, 617
1557796100948, 90765, 522, 547, 615
1557796100960, 90778, 522, 548, 614
1557796100973, 90790, 522, 548, 615
1557796100987, 90804, 522, 549, 615
1557796100999, 90817, 522, 549, 616
1557796101012, 90830, 523, 550, 616
1557796101025, 90843, 524, 550, 615
1557796101039, 90856, 526, 549, 615
1557796101051, 90869, 526, 550, 615
1557796101064, 90882, 525, 550, 616
1557796101077, 90895, 525, 549, 615
1557796101090, 90908, 527, 551, 615
1557796101103, 90921, 527, 549, 615
1557796101117, 90934, 528, 548, 615
1557796101129, 90947, 529, 547, 614
1557796101142, 90960, 528, 547, 613
1557796101155, 90973, 528, 548, 614
1557796101168, 90986, 529, 547, 615
1557796101181, 90999, 529, 547, 614
1557796101194, 91013, 529, 547, 613
1557796101207, 91025, 528, 547, 612
1557796101221, 91038, 527, 547, 613
1557796101233, 91052, 526, 547, 613
1557796101246, 91065, 525, 548, 613
1557796101261, 91077, 525, 548, 614
1557796101273, 91090, 525, 548, 614
1557796101286, 91104, 524, 548, 613
1557796101298, 91116, 523, 548, 613
1557796101312, 91129, 523, 547, 613
1557796101325, 91143, 523, 546, 615
1557796101338, 91156, 523, 547, 616
1557796101352, 91168, 523, 549, 614
1557796101364, 91182, 523, 549, 615
1557796101377, 91195, 524, 549, 616
